No,Fields Name,Path,Type,Deskripsi,Status
345,streamType,ISAPI,XML Field,,FALSE
346,online,ISAPI,XML Field,,FALSE
347,streamingProxyChannelId,ISAPI,XML Field,,FALSE
348,streamingProxyChannelId,ISAPI,XML Field,,FALSE
349,inputProxyPortIdList,ISAPI,XML Field,,FALSE
350,outputProxyPortIdList,ISAPI,XML Field,,FALSE
351,chanDetectResult,ISAPI,XML Field,,FALSE
352,PasswordStatus,ISAPI,XML Field,,FALSE
353,id,ISAPI,XML Field,,FALSE
354,proxyProtocol,ISAPI,XML Field,,FALSE
355,addressingFormatType,ISAPI,XML Field,,FALSE
356,ipAddress,ISAPI,XML Field,,FALSE
357,managePortNo,ISAPI,XML Field,,FALSE
358,srcInputPort,ISAPI,XML Field,,FALSE
359,userName,ISAPI,XML Field,,FALSE
360,streamType,ISAPI,XML Field,,FALSE
361,online,ISAPI,XML Field,,FALSE
362,streamingProxyChannelId,ISAPI,XML Field,,FALSE
363,streamingProxyChannelId,ISAPI,XML Field,,FALSE
364,inputProxyPortIdList,ISAPI,XML Field,,FALSE
365,outputProxyPortIdList,ISAPI,XML Field,,FALSE
366,chanDetectResult,ISAPI,XML Field,,FALSE
367,PasswordStatus,ISAPI,XML Field,,FALSE
368,id,ISAPI,XML Field,,FALSE
369,proxyProtocol,ISAPI,XML Field,,FALSE
370,addressingFormatType,ISAPI,XML Field,,FALSE
371,ipAddress,ISAPI,XML Field,,FALSE
372,managePortNo,ISAPI,XML Field,,FALSE
373,srcInputPort,ISAPI,XML Field,,FALSE
374,userName,ISAPI,XML Field,,FALSE
375,streamType,ISAPI,XML Field,,FALSE
376,online,ISAPI,XML Field,,FALSE
377,streamingProxyChannelId,ISAPI,XML Field,,FALSE
378,streamingProxyChannelId,ISAPI,XML Field,,FALSE
379,inputProxyPortIdList,ISAPI,XML Field,,FALSE
380,outputProxyPortIdList,ISAPI,XML Field,,FALSE
381,chanDetectResult,ISAPI,XML Field,,FALSE
382,PasswordStatus,ISAPI,XML Field,,FALSE
383,id,ISAPI,XML Field,,FALSE
384,proxyProtocol,ISAPI,XML Field,,FALSE
385,addressingFormatType,ISAPI,XML Field,,FALSE
386,ipAddress,ISAPI,XML Field,,FALSE
387,managePortNo,ISAPI,XML Field,,FALSE
388,srcInputPort,ISAPI,XML Field,,FALSE
389,userName,ISAPI,XML Field,,FALSE
390,streamType,ISAPI,XML Field,,FALSE
391,online,ISAPI,XML Field,,FALSE
392,streamingProxyChannelId,ISAPI,XML Field,,FALSE
393,streamingProxyChannelId,ISAPI,XML Field,,FALSE
394,inputProxyPortIdList,ISAPI,XML Field,,FALSE
395,outputProxyPortIdList,ISAPI,XML Field,,FALSE
396,chanDetectResult,ISAPI,XML Field,,FALSE
397,PasswordStatus,ISAPI,XML Field,,FALSE
398,id,ISAPI,XML Field,,FALSE
399,proxyProtocol,ISAPI,XML Field,,FALSE
400,addressingFormatType,ISAPI,XML Field,,FALSE
401,ipAddress,ISAPI,XML Field,,FALSE
402,managePortNo,ISAPI,XML Field,,FALSE
403,srcInputPort,ISAPI,XML Field,,FALSE
404,userName,ISAPI,XML Field,,FALSE
405,streamType,ISAPI,XML Field,,FALSE
406,online,ISAPI,XML Field,,FALSE
407,streamingProxyChannelId,ISAPI,XML Field,,FALSE
408,streamingProxyChannelId,ISAPI,XML Field,,FALSE
409,inputProxyPortIdList,ISAPI,XML Field,,FALSE
410,outputProxyPortIdList,ISAPI,XML Field,,FALSE
411,chanDetectResult,ISAPI,XML Field,,FALSE
412,PasswordStatus,ISAPI,XML Field,,FALSE
413,id,ISAPI,XML Field,,FALSE
414,proxyProtocol,ISAPI,XML Field,,FALSE
415,addressingFormatType,ISAPI,XML Field,,FALSE
416,ipAddress,ISAPI,XML Field,,FALSE
417,managePortNo,ISAPI,XML Field,,FALSE
418,srcInputPort,ISAPI,XML Field,,FALSE
419,userName,ISAPI,XML Field,,FALSE
420,streamType,ISAPI,XML Field,,FALSE
421,online,ISAPI,XML Field,,FALSE
422,streamingProxyChannelId,ISAPI,XML Field,,FALSE
423,streamingProxyChannelId,ISAPI,XML Field,,FALSE
424,inputProxyPortIdList,ISAPI,XML Field,,FALSE
425,outputProxyPortIdList,ISAPI,XML Field,,FALSE
426,chanDetectResult,ISAPI,XML Field,,FALSE
427,PasswordStatus,ISAPI,XML Field,,FALSE
428,id,ISAPI,XML Field,,FALSE
429,proxyProtocol,ISAPI,XML Field,,FALSE
430,addressingFormatType,ISAPI,XML Field,,FALSE
431,ipAddress,ISAPI,XML Field,,FALSE
432,managePortNo,ISAPI,XML Field,,FALSE
433,srcInputPort,ISAPI,XML Field,,FALSE
434,userName,ISAPI,XML Field,,FALSE
435,streamType,ISAPI,XML Field,,FALSE
436,online,ISAPI,XML Field,,FALSE
437,streamingProxyChannelId,ISAPI,XML Field,,FALSE
438,streamingProxyChannelId,ISAPI,XML Field,,FALSE
439,inputProxyPortIdList,ISAPI,XML Field,,FALSE
440,outputProxyPortIdList,ISAPI,XML Field,,FALSE
441,chanDetectResult,ISAPI,XML Field,,FALSE
442,PasswordStatus,ISAPI,XML Field,,FALSE
443,id,ISAPI,XML Field,,FALSE
444,proxyProtocol,ISAPI,XML Field,,FALSE
445,addressingFormatType,ISAPI,XML Field,,FALSE
446,ipAddress,ISAPI,XML Field,,FALSE
447,managePortNo,ISAPI,XML Field,,FALSE
448,srcInputPort,ISAPI,XML Field,,FALSE
449,userName,ISAPI,XML Field,,FALSE
450,streamType,ISAPI,XML Field,,FALSE
451,online,ISAPI,XML Field,,FALSE
452,streamingProxyChannelId,ISAPI,XML Field,,FALSE
453,streamingProxyChannelId,ISAPI,XML Field,,FALSE
454,inputProxyPortIdList,ISAPI,XML Field,,FALSE
455,outputProxyPortIdList,ISAPI,XML Field,,FALSE
456,chanDetectResult,ISAPI,XML Field,,FALSE
457,PasswordStatus,ISAPI,XML Field,,FALSE
458,id,ISAPI,XML Field,,FALSE
459,proxyProtocol,ISAPI,XML Field,,FALSE
460,addressingFormatType,ISAPI,XML Field,,FALSE
461,ipAddress,ISAPI,XML Field,,FALSE
462,managePortNo,ISAPI,XML Field,,FALSE
463,srcInputPort,ISAPI,XML Field,,FALSE
464,userName,ISAPI,XML Field,,FALSE
465,streamType,ISAPI,XML Field,,FALSE
466,online,ISAPI,XML Field,,FALSE
467,streamingProxyChannelId,ISAPI,XML Field,,FALSE
468,streamingProxyChannelId,ISAPI,XML Field,,FALSE
469,inputProxyPortIdList,ISAPI,XML Field,,FALSE
470,outputProxyPortIdList,ISAPI,XML Field,,FALSE
471,chanDetectResult,ISAPI,XML Field,,FALSE
472,PasswordStatus,ISAPI,XML Field,,FALSE
473,id,ISAPI,XML Field,,FALSE
474,proxyProtocol,ISAPI,XML Field,,FALSE
475,addressingFormatType,ISAPI,XML Field,,FALSE
476,ipAddress,ISAPI,XML Field,,FALSE
477,managePortNo,ISAPI,XML Field,,FALSE
478,srcInputPort,ISAPI,XML Field,,FALSE
479,userName,ISAPI,XML Field,,FALSE
480,streamType,ISAPI,XML Field,,FALSE
481,online,ISAPI,XML Field,,FALSE
482,streamingProxyChannelId,ISAPI,XML Field,,FALSE
483,streamingProxyChannelId,ISAPI,XML Field,,FALSE
484,inputProxyPortIdList,ISAPI,XML Field,,FALSE
485,outputProxyPortIdList,ISAPI,XML Field,,FALSE
486,chanDetectResult,ISAPI,XML Field,,FALSE
487,PasswordStatus,ISAPI,XML Field,,FALSE
488,id,ISAPI,XML Field,,FALSE
489,proxyProtocol,ISAPI,XML Field,,FALSE
490,addressingFormatType,ISAPI,XML Field,,FALSE
491,ipAddress,ISAPI,XML Field,,FALSE
492,managePortNo,ISAPI,XML Field,,FALSE
493,srcInputPort,ISAPI,XML Field,,FALSE
494,userName,ISAPI,XML Field,,FALSE
495,streamType,ISAPI,XML Field,,FALSE
496,online,ISAPI,XML Field,,FALSE
497,streamingProxyChannelId,ISAPI,XML Field,,FALSE
498,streamingProxyChannelId,ISAPI,XML Field,,FALSE
499,inputProxyPortIdList,ISAPI,XML Field,,FALSE
500,outputProxyPortIdList,ISAPI,XML Field,,FALSE
501,chanDetectResult,ISAPI,XML Field,,FALSE
502,PasswordStatus,ISAPI,XML Field,,FALSE
503,id,ISAPI,XML Field,,FALSE
504,proxyProtocol,ISAPI,XML Field,,FALSE
505,addressingFormatType,ISAPI,XML Field,,FALSE
506,ipAddress,ISAPI,XML Field,,FALSE
507,managePortNo,ISAPI,XML Field,,FALSE
508,srcInputPort,ISAPI,XML Field,,FALSE
509,userName,ISAPI,XML Field,,FALSE
510,streamType,ISAPI,XML Field,,FALSE
511,online,ISAPI,XML Field,,FALSE
512,streamingProxyChannelIdList,ISAPI,XML Field,,FALSE
513,inputProxyPortIdList,ISAPI,XML Field,,FALSE
514,outputProxyPortIdList,ISAPI,XML Field,,FALSE
515,chanDetectResult,ISAPI,XML Field,,FALSE
516,PasswordStatus,ISAPI,XML Field,,FALSE
