No,Fields Name,Path,Type,Deskripsi,Status
345,streamType,ISAPI,XML Field,Technical parameter,FALSE
346,online,ISAPI,XML Field,Technical parameter,FALSE
347,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
348,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
349,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
350,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
351,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
352,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
353,id,ISAPI,XML Field,Technical parameter,FALSE
354,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
355,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
356,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
357,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
358,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
359,userName,ISAPI,XML Field,Technical parameter,FALSE
360,streamType,ISAPI,XML Field,Technical parameter,FALSE
361,online,ISAPI,XML Field,Technical parameter,FALSE
362,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
363,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
364,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
365,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
366,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
367,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
368,id,ISAPI,XML Field,Technical parameter,FALSE
369,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
370,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
371,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
372,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
373,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
374,userName,ISAPI,XML Field,Technical parameter,FALSE
375,streamType,ISAPI,XML Field,Technical parameter,FALSE
376,online,ISAPI,XML Field,Technical parameter,FALSE
377,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
378,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
379,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
380,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
381,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
382,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
383,id,ISAPI,XML Field,Technical parameter,FALSE
384,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
385,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
386,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
387,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
388,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
389,userName,ISAPI,XML Field,Technical parameter,FALSE
390,streamType,ISAPI,XML Field,Technical parameter,FALSE
391,online,ISAPI,XML Field,Technical parameter,FALSE
392,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
393,streamingProxyChannelId,ISAPI,XML Field,Technical parameter,FALSE
394,inputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
395,outputProxyPortIdList,ISAPI,XML Field,Technical parameter,FALSE
396,chanDetectResult,ISAPI,XML Field,Technical parameter,FALSE
397,PasswordStatus,ISAPI,XML Field,Technical parameter,FALSE
398,id,ISAPI,XML Field,Technical parameter,FALSE
399,proxyProtocol,ISAPI,XML Field,Technical parameter,FALSE
400,addressingFormatType,ISAPI,XML Field,Technical parameter,FALSE
401,ipAddress,ISAPI,XML Field,Technical parameter,FALSE
402,managePortNo,ISAPI,XML Field,Technical parameter,FALSE
403,srcInputPort,ISAPI,XML Field,Technical parameter,FALSE
404,userName,ISAPI,XML Field,Technical parameter,FALSE
405,streamType,ISAPI,XML Field,Technical parameter,FALSE
